ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,racism.12-pAction,12.2,racism.24-pAction,24.2,Gender,Age,Education
200,2026-03-17 13:32:45,2026-03-17 13:34:29,103,1,EN-GB,1,,1,,,2,25,4
201,2026-03-17 13:32:17,2026-03-17 13:34:51,153,1,EN-GB,1,,,1,,2,38,3
202,2026-03-17 13:32:00,2026-03-17 13:35:08,188,1,EN-GB,1,,,,1,1,68,5
203,2026-03-17 13:30:18,2026-03-17 13:36:01,342,1,EN-GB,1,,,,1,1,37,5
204,2026-03-17 13:34:11,2026-03-17 13:36:12,120,1,EN-GB,1,,1,,,2,53,4
205,2026-03-17 13:35:10,2026-03-17 13:36:31,80,1,EN-GB,1,,,1,,1,36,5
206,2026-03-17 13:35:43,2026-03-17 13:36:41,58,1,EN-GB,1,,,1,,1,40,5
207,2026-03-17 13:34:09,2026-03-17 13:36:43,153,1,EN-GB,1,1,,,,1,68,2
208,2026-03-17 13:34:56,2026-03-17 13:36:50,113,1,EN-GB,1,,,,1,2,24,4
209,2026-03-17 13:35:11,2026-03-17 13:37:00,109,1,EN-GB,1,,,,1,2,45,4
210,2026-03-17 13:34:17,2026-03-17 13:37:50,212,1,EN-GB,1,1,,,,1,26,4
211,2026-03-17 13:35:30,2026-03-17 13:38:19,169,1,EN-GB,1,,,1,,2,47,3
212,2026-03-17 13:35:15,2026-03-17 13:38:33,198,1,EN-GB,1,,2,,,2,29,4
213,2026-03-17 13:38:16,2026-03-17 13:38:54,38,1,EN-GB,1,1,,,,1,63,2
214,2026-03-17 13:36:13,2026-03-17 13:39:02,168,1,EN-GB,1,,,1,,1,47,2
215,2026-03-17 13:13:34,2026-03-17 13:39:39,1565,1,EN-GB,1,,,2,,2,30,5
216,2026-03-17 13:38:21,2026-03-17 13:39:43,82,1,EN-GB,1,1,,,,2,31,2
217,2026-03-17 13:38:02,2026-03-17 13:39:43,101,1,EN-GB,1,,1,,,1,21,2
218,2026-03-17 13:38:07,2026-03-17 13:40:58,170,1,EN-GB,1,4,,,,1,36,5
219,2026-03-17 13:36:56,2026-03-17 13:41:07,251,1,EN-GB,1,13,,,,1,33,4
220,2026-03-17 13:40:31,2026-03-17 13:42:28,117,1,EN-GB,1,2,,,,2,29,4
221,2026-03-17 13:38:26,2026-03-17 13:42:54,268,1,EN-GB,1,,,1,,2,69,5
222,2026-03-17 13:39:58,2026-03-17 13:43:49,231,1,EN-GB,1,,,1,,1,24,3
223,2026-03-17 13:41:40,2026-03-17 13:44:03,142,1,EN-GB,1,,3,,,1,61,4
224,2026-03-17 13:43:16,2026-03-17 13:45:01,104,1,EN-GB,1,,,2,,2,56,4
225,2026-03-17 13:42:21,2026-03-17 13:45:03,162,1,EN-GB,1,1,,,,2,23,4
226,2026-03-17 13:44:06,2026-03-17 13:45:13,66,1,EN-GB,1,,,3,,1,50,5
227,2026-03-17 13:43:40,2026-03-17 13:46:48,188,1,EN-GB,1,,,,1,2,23,5
228,2026-03-17 13:44:51,2026-03-17 13:46:48,117,1,EN-GB,1,,,1,,1,46,4
229,2026-03-17 13:46:40,2026-03-17 13:47:56,75,1,EN-GB,1,1,,,,1,35,4
230,2026-03-17 13:46:11,2026-03-17 13:48:20,129,1,EN-GB,1,,,,1,2,30,2
231,2026-03-17 13:48:34,2026-03-17 13:49:37,62,1,EN-GB,1,,1,,,1,27,4
232,2026-03-17 13:48:25,2026-03-17 13:49:37,71,1,EN-GB,1,,1,,,3,21,2
233,2026-03-17 13:40:02,2026-03-17 13:50:00,597,1,EN-GB,1,,1,,,2,30,2
234,2026-03-17 13:48:09,2026-03-17 13:50:07,118,1,EN-GB,1,,2,,,2,26,5
235,2026-03-17 13:50:11,2026-03-17 13:51:29,78,1,EN-GB,1,1,,,,2,24,4
236,2026-03-17 13:52:00,2026-03-17 13:53:30,89,1,EN-GB,1,,,1,,2,43,4
237,2026-03-17 13:54:23,2026-03-17 13:55:30,66,1,EN-GB,1,1,,,,2,56,3
238,2026-03-17 13:54:29,2026-03-17 13:56:36,126,1,EN-GB,1,,1,,,2,44,4
239,2026-03-17 13:57:13,2026-03-17 13:58:18,65,1,EN-GB,1,,,1,,2,22,2
240,2026-03-17 13:56:41,2026-03-17 13:59:08,147,1,EN-GB,1,,,1,,2,28,3
241,2026-03-17 13:57:36,2026-03-17 13:59:43,126,1,EN-GB,1,,,,1,2,26,2
242,2026-03-17 13:58:11,2026-03-17 13:59:53,101,1,EN-GB,1,,,,2,2,46,5
243,2026-03-17 13:56:24,2026-03-17 14:00:35,251,1,EN-GB,1,1,,,,1,44,4
244,2026-03-17 13:58:34,2026-03-17 14:01:04,150,1,EN-GB,1,,,1,,2,39,4
245,2026-03-17 13:59:20,2026-03-17 14:01:08,108,1,EN-GB,1,,,1,,2,24,2
246,2026-03-17 13:58:13,2026-03-17 14:01:13,179,1,EN-GB,1,1,,,,2,18,3
247,2026-03-17 14:00:23,2026-03-17 14:01:42,79,1,EN-GB,1,,,,1,2,33,2
248,2026-03-17 13:59:45,2026-03-17 14:01:43,117,1,EN-GB,1,,,1,,2,29,2
249,2026-03-17 14:01:03,2026-03-17 14:04:04,180,1,EN-GB,1,1,,,,1,45,5
